frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,-1,-1,0
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,1229,553,1
31,-1,-1,0
32,-1,-1,0
33,1229,463,1
34,1231,487,1
35,1236,447,1
36,-1,-1,0
37,-1,-1,0
38,-1,-1,0
39,1246,428,1
40,1257,414,1
41,1268,406,1
42,1273,407,1
43,-1,-1,0
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,1285,422,1
48,1296,440,1
49,1308,462,1
50,1312,477,1
51,1317,492,1
52,1321,510,1
53,1326,529,1
54,1330,549,1
55,1335,567,1
56,1338,566,1
57,1340,557,1
58,-1,-1,0
59,-1,-1,0
60,1342,519,1
61,1345,487,1
62,1346,467,1
63,1345,478,1
64,1342,503,1
65,1338,516,1
66,1335,517,1
67,1332,507,1
68,1330,499,1
69,1327,492,1
70,1324,487,1
71,1321,484,1
72,1317,482,1
73,1314,482,1
74,-1,-1,0
75,-1,-1,0
76,-1,-1,0
77,-1,-1,0
78,-1,-1,0
79,-1,-1,0
80,1305,507,1
81,1295,532,1
82,1285,555,1
83,1281,553,1
84,1277,549,1
85,1273,547,1
86,-1,-1,0
87,-1,-1,0
88,-1,-1,0
89,1267,551,1
90,1261,555,1
91,1258,559,1
92,1256,562,1
93,1253,567,1
94,1250,572,1
95,-1,-1,0
96,-1,-1,0
97,1246,573,1
98,1243,572,1
99,1239,572,1
100,1238,572,1
101,-1,-1,0
102,-1,-1,0
103,1233,575,1
104,1229,578,1
105,1225,581,1
106,1224,582,1
107,1222,582,1
108,1221,582,1
109,-1,-1,0
110,-1,-1,0
111,1217,583,1
112,-1,-1,0
113,-1,-1,0
114,-1,-1,0
115,-1,-1,0
116,-1,-1,0
117,-1,-1,0
118,-1,-1,0
119,-1,-1,0
120,-1,-1,0
121,-1,-1,0
122,-1,-1,0
123,-1,-1,0
124,-1,-1,0
125,-1,-1,0
126,-1,-1,0
127,-1,-1,0
128,-1,-1,0
129,-1,-1,0
130,-1,-1,0
131,-1,-1,0
132,-1,-1,0
133,-1,-1,0
134,-1,-1,0
135,-1,-1,0
136,-1,-1,0
137,-1,-1,0
138,-1,-1,0
139,1193,592,1
140,1168,600,1
141,1145,608,1
142,1143,609,1
143,1140,611,1
144,1138,612,1
145,1135,613,1
146,1134,613,1
147,1132,613,1
148,1128,614,1
149,1123,615,1
150,-1,-1,0
151,1117,617,1
152,1112,618,1
153,-1,-1,0
154,1105,619,1
155,1100,621,1
156,-1,-1,0
157,1093,623,1
158,1088,625,1
159,1084,626,1
160,1082,626,1
161,1079,627,1
162,1078,627,1
163,1075,628,1
164,1073,629,1
165,1070,630,1
166,1069,630,1
167,1065,631,1
168,1063,631,1
169,1060,632,1
170,1059,632,1
171,1056,633,1
172,1054,634,1
173,1050,635,1
174,1048,635,1
175,1046,636,1
176,-1,-1,0
177,-1,-1,0
178,-1,-1,0
179,-1,-1,0
180,-1,-1,0
181,-1,-1,0
182,-1,-1,0
183,-1,-1,0
184,-1,-1,0
185,-1,-1,0
186,-1,-1,0
187,-1,-1,0
188,-1,-1,0
189,-1,-1,0
190,-1,-1,0
191,-1,-1,0
192,-1,-1,0
193,-1,-1,0
194,-1,-1,0
195,-1,-1,0
196,-1,-1,0
197,-1,-1,0
198,-1,-1,0
199,-1,-1,0
200,-1,-1,0
201,-1,-1,0
202,-1,-1,0
203,1024,642,1
204,1003,649,1
205,980,656,1
206,978,656,1
207,975,656,1
208,974,656,1
