frame,x,y,visible
0,1354,472,1
1,1353,472,1
2,1353,472,1
3,1353,472,1
4,1353,472,1
5,1353,472,1
6,1353,472,1
7,1353,472,1
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,-1,-1,0
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,-1,-1,0
32,-1,-1,0
33,-1,-1,0
34,-1,-1,0
35,-1,-1,0
36,-1,-1,0
37,-1,-1,0
38,-1,-1,0
39,-1,-1,0
40,-1,-1,0
41,-1,-1,0
42,-1,-1,0
43,-1,-1,0
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,-1,-1,0
48,-1,-1,0
49,-1,-1,0
50,-1,-1,0
51,-1,-1,0
52,-1,-1,0
53,-1,-1,0
54,-1,-1,0
55,-1,-1,0
56,-1,-1,0
57,-1,-1,0
58,-1,-1,0
59,-1,-1,0
60,-1,-1,0
61,-1,-1,0
62,-1,-1,0
63,-1,-1,0
64,1307,488,1
65,1261,504,1
66,1214,521,1
67,1214,521,1
68,1213,521,1
69,1213,521,1
70,-1,-1,0
71,-1,-1,0
72,1180,567,1
73,-1,-1,0
74,-1,-1,0
75,-1,-1,0
76,1146,586,1
77,-1,-1,0
78,-1,-1,0
79,-1,-1,0
80,-1,-1,0
81,-1,-1,0
82,-1,-1,0
83,-1,-1,0
84,-1,-1,0
85,-1,-1,0
86,-1,-1,0
87,-1,-1,0
88,-1,-1,0
89,-1,-1,0
90,-1,-1,0
91,-1,-1,0
92,1163,622,1
93,1212,612,1
94,-1,-1,0
95,-1,-1,0
96,-1,-1,0
97,-1,-1,0
98,1276,630,1
99,1291,632,1
100,1307,633,1
101,1311,633,1
102,1318,634,1
103,-1,-1,0
104,-1,-1,0
105,-1,-1,0
106,-1,-1,0
107,-1,-1,0
108,1333,651,1
109,-1,-1,0
110,1352,666,1
111,1369,680,1
112,1378,679,1
113,-1,-1,0
114,1388,685,1
115,-1,-1,0
116,1404,692,1
117,1416,700,1
118,1425,703,1
119,1431,705,1
120,1440,708,1
121,1449,710,1
122,-1,-1,0
123,-1,-1,0
124,1458,712,1
125,1465,714,1
126,1470,715,1
127,1473,715,1
128,1479,716,1
129,1482,717,1
130,1489,718,1
131,1492,718,1
132,1498,718,1
133,1501,718,1
134,-1,-1,0
135,-1,-1,0
136,-1,-1,0
137,-1,-1,0
138,-1,-1,0
139,-1,-1,0
140,-1,-1,0
141,-1,-1,0
142,-1,-1,0
143,1519,722,1
144,1534,725,1
145,-1,-1,0
146,-1,-1,0
147,-1,-1,0
148,-1,-1,0
149,-1,-1,0
150,-1,-1,0
151,-1,-1,0
152,-1,-1,0
153,-1,-1,0
154,-1,-1,0
155,-1,-1,0
156,-1,-1,0
157,-1,-1,0
158,-1,-1,0
159,-1,-1,0
160,-1,-1,0
161,-1,-1,0
162,-1,-1,0
163,-1,-1,0
164,-1,-1,0
165,-1,-1,0
166,-1,-1,0
167,-1,-1,0
168,-1,-1,0
169,-1,-1,0
170,-1,-1,0
171,-1,-1,0
172,-1,-1,0
173,-1,-1,0
174,-1,-1,0
175,-1,-1,0
176,-1,-1,0
177,-1,-1,0
